Data Vault Object Type,Data Vault Object,column_name,source_table,source_column
Hub,h_0001_party,hk_h_0001_party,,
Hub,h_0001_party,bk_0001_party,client_details,client_id
Hub,h_0001_party,bk_0001_party_bkcc,,
Hub,h_0001_party,dss_record_source,,
Hub,h_0001_party,dss_load_date,,
Hub,h_0001_party,dss_create_time,,
Satellite,s_0001_client_details,hk_h_0001_party,,
Satellite,s_0001_client_details,bk_0001_party,client_details,client_id
Satellite,s_0001_client_details,bk_0001_party_bkcc,,
Satellite,s_0001_client_details,dss_record_source,,
Satellite,s_0001_client_details,dss_load_date,,
Satellite,s_0001_client_details,dss_create_time,,
Satellite,s_0001_client_details,dss_start_date,,
Satellite,s_0001_client_details,Name,client_details,Name
Satellite,s_0001_client_details,Surname,client_details,Surname
Satellite,s_0001_client_details,Cell,client_details,Cell
Hub,h_0002_intermediary,hk_h_0002_intermediary,,
Hub,h_0002_intermediary,bk_0002_intermediary,client_details,broker_id
Hub,h_0002_intermediary,bk_0002_intermediary_bkcc,,
Hub,h_0002_intermediary,dss_record_source,,
Hub,h_0002_intermediary,dss_load_date,,
Hub,h_0002_intermediary,dss_create_time,,
Satellite,s_0002_client_details,hk_h_0002_intermediary,,
Satellite,s_0002_client_details,bk_0002_intermediary,client_details,broker_id
Satellite,s_0002_client_details,bk_0002_intermediary_bkcc,,
Satellite,s_0002_client_details,dss_record_source,,
Satellite,s_0002_client_details,dss_load_date,,
Satellite,s_0002_client_details,dss_create_time,,
Satellite,s_0002_client_details,dss_start_date,,
Link,h_5010_party_intermediary,hk_h_0001_party,,
Link,h_5010_party_intermediary,bk_0001_party,client_details,client_id
Link,h_5010_party_intermediary,bk_0001_party_bkcc,,
Link,h_5010_party_intermediary,hk_h_0002_intermediary,,
Link,h_5010_party_intermediary,bk_0002_intermediary,client_details,broker_id
Link,h_5010_party_intermediary,bk_0002_intermediary_bkcc,,
Link,h_5010_party_intermediary,dss_record_source,,
Link,h_5010_party_intermediary,dss_load_date,,
Link,h_5010_party_intermediary,dss_create_time,,
